Qty,Value,Device,Parts,Description,DKPN,Price
1,,PINHD-1X2,JP1,PIN HEADER,609-3507-ND, $0.12 
1,,PJ-037A,J1,Barrel Jack 2.1x5.5mm,CP-037A-ND, $0.58 
1,,TRIMPOT3386,TM1,Placeholder for externally wired 10k Pot,987-1662-ND, $0.79 
2,.01uF,C-USC0603,"C2, C3","CAPACITOR, American symbol",478-0603YD103KAT2ACT-ND, $0.10 
1,.1uF,C-USC0603,C1,"CAPACITOR, American symbol",1276-CL10B104KB8NNNLCT-ND, $0.10 
1,10K,R-US_R0603,R1,"RESISTOR, American symbol",RNCP0603FTD10K0CT-ND, $0.10 
1,10uF,C-USC0603,C4,"CAPACITOR, American symbol",1276-6769-1-ND, $0.27 
1,BSS806N,BSS806N,Q1,N-Channel MOSFET,BSS806NH6327XTSA1CT-ND, $0.46 
1,LM555D,LM555D,IC1,555 TIMER,296-6501-1-ND, $0.36 
1,MFS101D-6-Z,MFS101D-6-Z,SW1,SPDT Slide Switch,563-1555-ND, $1.09 
1,SSM3J356R,SSM3J356R,Q2,P-Channel 60V 2A (Ta) 1W (Ta) Surface Mount SOT-23F,SSM3K339RLFCT-ND, $0.43 
1,UX60-MB-5S8,UX60-MB-5S8,J2,Mini USB Port,H2960CT-ND, $0.93 
,,,,,Total:, $5.33 
